TimeStamp,CAN ID,PGN,Source Address,Signal,Raw Value,Physical Value,BusChannel
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC18,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC04,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC19,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC03,59,19.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC07,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC06,57,17.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC02,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC14,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC07,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC09,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC02,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC08,59,19.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC20,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC16,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC08,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC13,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC06,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2SN,11,11.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P4SN,1,1.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC12,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P5CellNTC18,63,23.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P5CellNTC17,63,23.0,1
